Longitude,Latitude,Name,Location
-108.301,39.168,Island Acres - James M. Robb - Colorado River State Park,Palisade
-108.011,39.032,Island Lake,Cedaredge
-107,37.681,Ivy Creek,Creede
-105.525,40.633,Jacks Gulch,Rustic
-105.089,39.251,Jackson Creek,Denver
-104.093,40.385,Jackson Lake State Park,Orchard
-105.853,39.433,Jefferson Creek,Jefferson
-108.094,39.053,Jumbo,Mesa
-107.917,37.337,Junction Creek,Durango
-104.755,38.277,Juniper Breaks - Lake Pueblo State Park,Pueblo
-107.953,40.47,Juniper Canyon - Yampa River State Park,Craig
-105.498,39.932,Kelly Dahl,Nederland
-105.483,40.681,Kelly Flats,Rustic
-105.265,39.306,Kelsey,Bailey
-105.761,39.414,Kenosha Pass,Jefferson
-107.948,39.038,Kiser Creek,Cedaredge
-106.128,39.329,Kite Lake,Alma
-108.077,37.376,Kroeger,Durango
-105.059,37.984,La Vista - Lake Isabel,Colorado City
-105.662,38.265,Lake Creek,Westcliffe
-106.477,37.309,Lake Fork,Antonito
-107.323,38.455,Lake Fork - Curecanti Area,Gunnison
-102.933,38.075,Lake Hasty - John Martin State Park,Hasty
-107.108,38.881,Lake Irwin,Crested Butte
-106.58,38.818,Lakeview - Almont,
-106.366,39.098,Lakeview - Twin Lakes,Leadville
-106.695,39.117,Lincoln Gulch,Aspen
-106.806,39.378,Little Mattie,Basalt
-106.813,39.375,Little Maud,Basalt
-106.662,38.761,Lodgepole - Almont,Almont
-105.843,39.423,Lodgepole - Jefferson,Jefferson
-105.235,39.252,Lone Rock,Woodland Park
-105.767,40.515,Long Draw,Gould
-105.559,40.275,Longs Peak - Rocky Mountain National Park,Estes Park
-107.208,38.87,Lost Lake,Paonia
-106.625,39.122,Lost Man,Aspen
-105.507,39.285,Lost Park,Jefferson
-107.349,37.768,Lost Trail,Creede
-106.627,38.776,Lottis Creek,Almont
-106.676,37.616,Lower Beaver Creek,South Fork
-105.431,40.691,Lower Narrows,Fort Collins
-107.343,37.242,Lower Piedra,Pagosa Springs
-106.031,39.623,Lowry,Dillon
-106.584,38.181,Luders Creek,Saguache
-106.699,40.078,Lynx Pass,Toponas
-108.27,37.4,Main - Mancos State Park,Dolores
-106.986,37.789,Marshall Park,Creede
-107.426,40.007,Marvine,Buford
-105.531,40.347,Marys Lake - USBR,Estes Park
-106.36,39.258,Matchless,Leadville
-107.881,37.845,Matterhorn,Telluride
-108.297,37.651,Mavreeso,Dolores
-108.033,40.501,Maybell Bridge - Yampa River State Park,Craig
-108.086,40.517,Maybell City Park,Maybell
-106.431,39.278,Mayqueen,Leadville
-107.872,38.059,McClure,
-107.313,39.124,McClure,Redstone
-106.238,39.851,Mcdonald Flats,Silverthorne
-108.553,37.497,Mcphee,Dolores
-107.543,39.817,Meadow Lake,Buford
-105.274,40.223,Meadow Park,Lyons
-104.986,38.978,Meadow Ridge,Woodland Park
-106.724,40.373,Meadows,Steamboat Springs
-107.91,40.036,Meeker City Park,Meeker
-105.534,40.242,Meeker Park Overflow,Estes Park
-105.535,39.51,Meridian,Bailey
-105.883,39.411,Michigan Creek,Jefferson
-107.536,37.409,Middle Mountain - Vallecito Reservoir,Bayfield
-106.425,38.623,Middle Quartz,Monarch
-107.39,37.906,Mill Creek - Lake City,
-107.661,37.405,Miller Creek,Bayfield
-108.872,38.981,Miracle Rock,Glade Park
-108.334,37.975,Miramonte Reservoir - SWA,
-106.432,38.747,Mirror Lake - Almont,Almont
-104.863,40.43,Missile Site Park,Greeley
-106.547,37.358,Mix Lake,Antonito
-105.792,39.776,Mizpah,Empire
-106.235,37.065,Mogote,Antonito
-107.683,37.749,Molas Lake Public Park,Silverton
-106.81,39.375,Mollie B,Basalt
-106.353,39.264,Molly Brown,Leadville
